 ,Area,Mean,Min,Max,X,Y
1,0,117,117,117,1065.500,1116.750
2,0,105,105,105,1063.500,1104.250
3,0,131,131,131,1052.000,1099.000
4,0,80,80,80,1051.750,1086.500
