 ,Area,Mean,Min,Max,X,Y
1,0,74,74,74,2627.000,1485.000
2,0,94,94,94,2689.500,1500.500
3,0,96,96,96,2759.500,1507.500
4,0,100,100,100,2822.500,1531.500
5,0,52,52,52,2914.500,1567.500
6,0,94,94,94,2961.500,1606.500
7,0,75,75,75,3011.500,1646.500
8,0,79,79,79,3065.500,1647.500
9,0,84,84,84,3115.500,1687.500
