 ,Area,Mean,Min,Max,X,Y
1,0,231,231,231,1682.000,416.500
2,0,200,200,200,1704.500,406.000
3,0,201,201,201,1708.000,384.500
4,0,213,213,213,1732.000,366.500
5,0,215,215,215,1758.000,337.500
